50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,True,,,,,,,5dcb2e26-8577-4f72-bda4-9ca6125801d3,1500,,,"[1.7, 17.4]",3900589,40,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Syam Ben Youssef,5656.0,Left Center Back,101,Marseille,147,['6d582471-5855-48e4-915e-79480b60aaa9'],8,,,,,,,,,,,,,,,,,Caen,140,00:40:08.538,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,adb181fb-6cea-46ad-8171-4189850a7daf,1559,,,"[60.9, 44.4]",3900589,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdelaziz Barrada,23933.0,Center Attacking Midfield,103,Marseille,147,['7182b2df-65b8-4066-9e20-5c80fe2388fc'],23,,,,,,,,,,,,,,,,,Marseille,147,00:41:23.876,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,True,,,,,,,cce25b09-95c7-4e9a-a7be-c591b8c3edb4,1638,,,"[78.8, 7.2]",3900589,42,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Javier Manquillo Gaitán,3075.0,Left Back,109,Marseille,147,['72f67d70-897b-4fa7-8409-8ba23c524d1f'],47,,,,,,,,,,,,,,,,,Marseille,147,00:42:47.094,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,True,,,,,,,f62b57bd-4933-4dea-ac30-0658a62abb54,1652,,,"[31.2, 44.4]",3900589,43,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdelaziz Barrada,23933.0,Center Attacking Midfield,111,Caen,140,['a785c3ef-5cdb-4b90-91b5-2183ec2efe37'],40,,,,,,,,,,,,,,,,,Marseille,147,00:43:40.116,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,True,,,,,,,,da9af5fe-ea19-4628-8e54-d0a827ba7fea,2097,,,"[54.0, 56.8]",3900589,54,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alaeddine Yahia,7444.0,Right Center Back,148,Caen,140,['1c0520d5-b69d-4a6a-8db1-3205ca3d4acf'],5,,,,,,,,,,,,,,,,,Caen,140,00:09:05.907,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,48c290c2-3ad0-451c-802b-788d3c495832,2264,,,"[53.3, 35.1]",3900589,57,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alaeddine Yahia,7444.0,Right Center Back,156,Caen,140,['30f18560-d628-475b-a4da-5ec0d1e49260'],44,,,,,,,,,,,,,,,,,Caen,140,00:12:44.844,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8bffc1d-6fba-4f41-acd7-5aa22829d707,2290,,,"[9.5, 76.6]",3900589,58,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Brice Dja Djédjé,7857.0,Right Back,157,Caen,140,['f5aec2f1-88fe-48a2-8989-78ef39571b29'],36,,,,,,,,,,,,,,,,,Marseille,147,00:13:36.503,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05c01161-6147-49e4-8571-7687458e8fca,2333,,,"[37.6, 74.2]",3900589,60,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,160,Marseille,147,['b00c3140-9892-4293-bc10-9543dddd2de0'],46,,,,,,,,,,,,,,,,,Marseille,147,00:15:46.303,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,True,,,,,,,db27bf9a-d0a0-47be-93e7-bb82150f8a2d,2511,,,"[79.7, 16.6]",3900589,65,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andy Delort,3038.0,Center Forward,172,Caen,140,['4fe8058a-f66d-402d-af1f-56b1e73fd47e'],59,,,,,,,,,,,,,,,,,Caen,140,00:20:59.608,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f100d04-acd9-461c-91f6-06c6fc6205ba,2681,,,"[32.7, 62.7]",3900589,70,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alaeddine Yahia,7444.0,Right Center Back,183,Marseille,147,['7181c863-d6ae-4611-9bf1-1f962e3c7aee'],54,,,,,,,,,,,,,,,,,Caen,140,00:25:54.160,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e2c2939-1591-499b-801f-d94242c95e31,2706,,,"[76.0, 62.3]",3900589,71,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Julien Féret,2959.0,Left Defensive Midfield,184,Caen,140,['30eb090f-ddb0-4c9f-a79f-50da10c98fef'],27,,,,,,,,,,,,,,,,,Caen,140,00:26:27.571,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,True,,,,,,,,820395c6-309c-42ac-8464-c5a770344f4e,3128,,,"[28.3, 7.2]",3900589,83,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Julien Féret,2959.0,Left Defensive Midfield,210,Caen,140,"['4d972fff-92be-4c69-865d-20b8fcd77161', '5e21d928-c433-4842-bcdf-4414dfd62454']",29,,,,,,,,,,,,,,,,,Caen,140,00:38:29.349,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,True,,,,,,,,5cf26e8c-5ee1-40a2-9d3c-3166842754ba,3392,,,"[78.1, 76.4]",3900589,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mauricio Aníbal Isla Isla,18874.0,Right Wing,223,Marseille,147,"['083b1ae2-f0bf-48f2-a4dc-83c0c5eb22af', 'c8c3fadd-c956-453e-99a5-5a00e490c09d']",53,,,,,,,,,,,,,,,,,Marseille,147,00:43:53.355,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,True,,,,,,,,5f95143b-93b7-4526-bf83-adab964040d0,3581,,,"[68.5, 4.3]",3900589,92,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Rémy Cabella,3420.0,Left Wing,230,Marseille,147,"['29227bdc-7b67-4bd2-a594-fe0f0d23a727', '427e099f-6600-4b37-8e0a-5ed7b7ca72cc']",13,,,,,,,,,,,,,,,,,Marseille,147,00:47:13.533,Foul Won,True
,,,,,,,,,,,,,,,,,0.720984,,,,,,,,,,,,816a05a6-11b7-49a5-8d81-bf0c0549e90e,273,,,"[100.9, 42.5]",3900589,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julien Féret,2959.0,Left Center Midfield,18,Caen,140,['630a2df1-0e5b-449b-957c-0358e861597f'],50,,Right Foot,"[114.7, 41.6, 0.5]",,"[{'location': [116.0, 41.2], 'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.3, 40.1], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.0, 55.4], 'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.3, 43.9], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.6, 49.1], 'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.9, 32.0], 'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.7, 40.8], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.6, 53.1], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.7, 49.3], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",b3dedb27-8ea4-4ef8-bff5-1e44d268cd1c,,Saved,0.102199815,Half Volley,Open Play,,,,,,Caen,140,00:05:50.024,Shot,
,,,,,,,,,,,,,,,,,0.644894,,,,,,,,,,,,f0097b64-74d7-491e-b83f-8791de2bec6c,474,,,"[115.0, 36.4]",3900589,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Michy Batshuayi Tunga,3457.0,Center Forward,33,Marseille,147,['12c449f0-3f58-49fa-987a-d35c2e42a98a'],27,,Left Foot,"[120.0, 36.9, 1.2]",True,"[{'location': [116.7, 29.4], 'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.4, 47.6], 'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.4, 38.6], 'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.2, 37.4], 'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 34.0], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 24.9], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.8, 32.4], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e30bfdf5-dbf5-4e87-b83e-7df5c7d3c459,,Goal,0.3700136,Normal,Open Play,,,,,,Marseille,147,00:11:27.404,Shot,
,,,,,,,,,,,,,,,,,0.768973,,,,,,,,,,,,bcef0344-233c-4b5f-8070-f63240c14184,1000,,,"[111.8, 41.6]",3900589,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Michy Batshuayi Tunga,3457.0,Center Forward,68,Marseille,147,['2c482fcf-5dff-425d-9ea6-f0dcc501c91f'],11,,Right Foot,"[120.0, 33.5, 0.4]",True,"[{'location': [105.5, 53.7], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.4, 50.6], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.3, 46.6], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.4, 41.7], 'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.1, 52.0], 'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.9, 40.8], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.1, 40.0], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 50.1], 'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.6, 39.2], 'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",e37cc9ad-849f-4787-9358-16077e6cfb88,,Off T,0.5557913,Normal,Open Play,,,,,,Marseille,147,00:27:11.172,Shot,
,,,,,,,,,,,,,,,,,0.977646,,,,,,,,,,,,046faf66-4add-4939-8e75-9319e847dd76,1110,,,"[95.3, 23.3]",3900589,30,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronny Rodelin,2955.0,Right Midfield,75,Caen,140,['60ea0b33-c53d-4515-816b-b4745ff38f83'],11,,Right Foot,"[120.0, 35.9, 0.4]",,"[{'location': [105.7, 15.4], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.8, 53.5], 'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.5, 41.2], 'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 36.3], 'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 29.9], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.1, 23.6], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.7, 20.4], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.6, 35.3], 'player': {'id': 4255, 'name': 'Jean-Victor Makengo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [116.5, 38.7], 'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 30.8], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.1, 40.4], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",3164f7ad-c9cc-4214-83ad-eb8e0c21e2b2,,Off T,0.02304466,Normal,Open Play,,,,,,Caen,140,00:30:11.747,Shot,
,,,,,,,,,,,,,,,,,1.375671,,,,,,,,,,,,8521f335-2ce5-4592-8aff-f645be1265ca,1157,,,"[101.2, 39.7]",3900589,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Julien Féret,2959.0,Left Center Midfield,78,Caen,140,['0be37bd2-ef6b-4250-aff5-2b36a22d4513'],40,,Right Foot,"[120.0, 34.0, 0.5]",,"[{'location': [98.0, 32.9], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.2, 29.8], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.1, 35.3], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.5, 18.1], 'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [89.7, 24.4], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.9, 45.4], 'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.4, 35.2], 'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 40.1], 'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 35.5], 'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.3, 30.5], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 14.4], 'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.8, 20.1], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 39.9], 'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",97b889fa-835a-4fa9-94d0-977972a69660,,Off T,0.102929875,Normal,Open Play,,,,,,Caen,140,00:31:40.403,Shot,
,,,,,,,,,,,,,,,,,0.055108,,,,,,,,,,,,a02d4e68-2370-4cb4-bb50-4fa0134b8ea8,1925,,,"[105.7, 56.7]",3900589,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Hervé Bazile,2991.0,Right Midfield,133,Caen,140,"['5e77c120-d7fe-441e-80de-e89d0131ee4d', '888dfe85-ab35-451a-a36f-0b9013f4aad6']",7,,Left Foot,"[107.2, 55.0]",,"[{'location': [103.3, 51.1], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 43.3], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.4, 61.3], 'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 57.1], 'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.5, 71.2], 'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.6, 54.4], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.7, 61.1], 'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.7, 39.1], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [117.4, 43.1], 'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.4, 63.2], 'player': {'id': 4255, 'name': 'Jean-Victor Makengo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.2, 69.5], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.6, 61.4], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",02812e72-9ce1-4fb7-be53-5e77ef930eb0,,Blocked,0.024348682,Normal,Open Play,,,,,,Caen,140,00:04:07.037,Shot,
,,,,,,,,,,,,,,,,,1.70847,,,,,,,,,,,,6f0a95bf-2a8a-4df5-a6ba-e9b5b0a148b0,1960,,,"[107.6, 29.2]",3900589,49,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ronny Rodelin,2955.0,Left Midfield,135,Caen,140,['d787ae7a-f882-4d6e-a1c5-f1894e0d6901'],52,,Right Foot,"[120.0, 46.1, 1.2]",True,"[{'location': [108.0, 36.8], 'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.2, 49.6], 'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.5, 38.3], 'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 27.1], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 11.9], 'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.8, 50.5], 'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.8, 34.6], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.7, 38.8], 'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.9, 55.3], 'player': {'id': 2991, 'name': 'Hervé Bazile'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.5, 39.3], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.4, 39.5], 'player': {'id': 4255, 'name': 'Jean-Victor Makengo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.3, 29.1], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",f11aec91-f6e9-4161-a4eb-13613a86eeff,,Off T,0.059770867,Backheel,Open Play,,,,,,Caen,140,00:04:52.527,Shot,
,,,,,,,,,,,,,,,,,0.093026,,,,,,,,,,,,adaa7d21-8ef5-484d-8d84-9ecf01329b37,2045,,,"[103.2, 41.3]",3900589,52,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Michy Batshuayi Tunga,3457.0,Center Forward,144,Marseille,147,"['836be8ec-a7b1-4230-af79-9f0731b60720', 'e3acae8a-55d3-45db-8b02-6c3b20ddf31c']",13,,Right Foot,"[104.4, 41.1]",,"[{'location': [115.8, 40.0], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.3, 25.2], 'player': {'id': 4255, 'name': 'Jean-Victor Makengo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.3, 42.2], 'player': {'id': 4474, 'name': 'Emmanuel Imorou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.8, 41.1], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 37.2], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 34.1], 'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.1, 18.8], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.1, 55.4], 'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.6, 49.0], 'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 29.0], 'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",fca54dde-6a89-47e5-9854-306ee7f94d98,,Blocked,0.04966489,Normal,Open Play,,,,,,Marseille,147,00:07:13.430,Shot,
