50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a78f08cb-e899-41ae-82e4-9d7ff9e19e17,3088,,"[69.2, 72.0]",3879628,78,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Andrea Poli,7168.0,Right Defensive Midfield,174,AC Milan,243,['ac834f79-5b3e-485b-a02a-10ee5a6b9bc3'],21,,,,,,,,,,,,,,,,,,,AC Milan,243,00:33:21.706,Ball Recovery,
,,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2efeba04-d565-46e8-9199-2c37d90b3ba2,3118,,"[63.6, 57.7]",3879628,79,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Pedro Miguel Almeida Lopes Pereira,8423.0,Right Back,176,Sampdoria,234,,56,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:34:56.876,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbbab814-f88c-4389-b1de-ae83b79f6785,3120,,"[56.0, 6.3]",3879628,79,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giacomo Bonaventura,7026.0,Left Midfield,177,AC Milan,243,['3b1da71b-ccad-406f-82ed-1f2abfabe280'],59,,,,,,,,,,,,,,,,,,,AC Milan,243,00:34:59.466,Ball Recovery,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42b437f9-d9b6-4dc2-a821-4f193210c56c,3185,,"[91.5, 12.0]",3879628,81,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Eder Citadin Martins,7000.0,Left Center Forward,180,Sampdoria,234,,2,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:36:02.175,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c31ad12c-f741-471c-8b98-edc22c3f9ac3,3203,,"[70.0, 71.7]",3879628,81,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Pedro Miguel Almeida Lopes Pereira,8423.0,Right Back,180,Sampdoria,234,,20,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:36:20.121,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6cc198b4-428a-46b7-a742-c9b98d42efa7,3270,,"[97.4, 26.7]",3879628,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Riccardo Montolivo,7166.0,Left Defensive Midfield,181,AC Milan,243,,46,,,,,,,,,,,,,,,,,,,AC Milan,243,00:37:46.323,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18f0a989-4c9d-46e0-a0b3-5a39223c1618,3302,,"[116.1, 7.6]",3879628,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Roberto Soriano,6759.0,Center Attacking Midfield,183,Sampdoria,234,,23,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:38:23.820,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c4e25de-b07c-49c3-acb7-c2cb1c2aa366,3311,,"[22.2, 59.3]",3879628,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Riccardo Montolivo,7166.0,Left Defensive Midfield,183,Sampdoria,234,['d5c01160-8f49-4580-89ea-48f0b5c69bcb'],29,,,,,,,,,,,,,,,,,,,AC Milan,243,00:38:29.081,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70481ec6-db46-4919-9d32-45686e5a4452,3334,,"[86.3, 34.3]",3879628,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fernando Lucas Martins,16586.0,Center Defensive Midfield,185,Sampdoria,234,,45,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:38:45.270,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3af4616-8f71-41f1-a7a0-f8aaae72492b,3343,,"[97.0, 23.7]",3879628,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Djamel Eddine Mesbah,40394.0,Left Back,185,Sampdoria,234,,54,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:38:54.887,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,999d0777-d63b-4a40-aba8-e9fb2f348c9c,3354,,"[23.2, 55.0]",3879628,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,185,Sampdoria,234,,5,,,,,,,,,,,,,,,,,,,AC Milan,243,00:39:05.402,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54654f82-ba96-4e66-b44a-8fd2d40bd85d,3393,,"[16.5, 31.1]",3879628,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,189,AC Milan,243,['d9727773-d3a1-4c9c-82fe-51077726d72b'],50,,,,,,,,,,,,,,,,,,,AC Milan,243,00:39:50.946,Ball Recovery,
,,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1583ae2-233c-4dc3-808a-13ea29bb3757,3424,,"[70.0, 73.7]",3879628,85,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrea Poli,7168.0,Right Defensive Midfield,189,AC Milan,243,,17,,,,,,,,,,,,,,,,,,,AC Milan,243,00:40:17.769,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d7b5878a-3549-4134-a3eb-66613f476fb8,3501,,"[110.0, 56.9]",3879628,88,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Keisuke Honda,5683.0,Right Midfield,193,AC Milan,243,,9,,,,,,,,,,,,,,,,,,,AC Milan,243,00:43:09.566,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf86ab0b-3dbc-4304-920d-e6bfb1bbbc0d,3565,,"[52.0, 70.5]",3879628,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Pedro Miguel Almeida Lopes Pereira,8423.0,Right Back,196,AC Milan,243,,56,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:45:56.632,Ball Recovery,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c474db33-0fbe-4752-8769-ceed9a7285a5,3599,,"[27.0, 50.1]",3879628,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Federico Bonazzoli,7773.0,Right Center Forward,198,Sampdoria,234,,48,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:46:48.320,Ball Recovery,
,,,,,,,,,,,,,,,,,0.683929,,,,,,,,,,,,,082ad008-7390-4e95-9760-0bab3af39327,24,,"[93.1, 31.9]",3879628,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Soriano,6759.0,Center Attacking Midfield,4,Sampdoria,234,['22ff37b9-b8dc-42d9-b796-8e7d0ddf7ba3'],25,,Right Foot,"[114.0, 39.2, 0.9]",,"[{'location': [113.7, 37.3], 'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [79.7, 45.0], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [80.0, 43.2], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [95.3, 49.9], 'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.7, 29.8], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.2, 26.8], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 36.8], 'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.1, 13.9], 'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.3, 16.8], 'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 23.4], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.5, 30.6], 'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [77.3, 30.9], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [87.3, 21.7], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,,Saved,,0.033353817,Half Volley,Open Play,,,,,,Sampdoria,234,00:00:25.098,Shot,
,,,,,,,,,,,,,,,,,0.622875,,,,,,,,,,,,,1346f94d-3f81-48d6-b81b-ca8daa77e760,315,,"[104.0, 39.8]",3879628,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,15,AC Milan,243,"['41870f7d-ec76-4174-a58e-212e647dd22c', 'a3ec672e-869b-4d87-88f1-ee3a5475539b']",45,,Right Foot,"[117.6, 41.3, 0.4]",,"[{'location': [109.8, 28.8], 'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.4, 26.0], 'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [117.7, 40.0], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.1, 43.8], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 38.7], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.2, 35.8], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 24.1], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.0, 38.4], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.7, 26.0], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.3, 32.3], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 50.1], 'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",d6e7fb42-545c-410e-93c4-1f409cf9adb8,,,Saved,,0.1501286,Normal,Open Play,,,,,,AC Milan,243,00:07:45.362,Shot,True
,,,,,,,,,,,,,,,,,0.253263,,,,,,,,,,,,,c3ccbff8-e0e0-4942-958b-a008f0d69823,434,,"[94.3, 47.4]",3879628,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessio Cerci,7702.0,Right Midfield,21,AC Milan,243,"['2dc59b4a-d2fc-48fc-a71b-6b25832fff98', '7f5555c9-3ae3-4df0-9b46-253a15a5d0a2']",28,,Left Foot,"[100.0, 46.3]",,"[{'location': [100.8, 55.9], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 48.1], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 46.0], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 41.4], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.9, 48.3], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.4, 40.8], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.1, 43.3], 'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.4, 41.6], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.4, 36.4], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.5, 41.1], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 51.9], 'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",dde7ecab-668a-4f99-9184-461f398f2d1e,,,Blocked,,0.029855305,Normal,Open Play,,,,,,AC Milan,243,00:10:28.038,Shot,
,,,,,,,,,,,,,,,,,0.628919,,,,,,,,,,,,,8fe55b68-2d38-4fdc-95bd-481edef73f04,652,,"[114.4, 54.4]",3879628,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,M''Baye Babacar Niang,5661.0,Right Center Forward,28,AC Milan,243,['b546dbd7-e29e-4415-9e9f-b7499cc15b96'],42,,Right Foot,"[117.9, 37.9]",,"[{'location': [112.1, 35.4], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.6, 44.7], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.9, 53.2], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 49.8], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.5, 46.4], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.4, 52.7], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.3, 36.8], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.9, 52.8], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.8, 36.6], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.3, 47.2], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [106.4, 47.2], 'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",4999b3f9-030d-4495-9a29-7b0058106649,True,,Wayward,,0.023228798,Normal,Open Play,,,,,,AC Milan,243,00:15:42.874,Shot,
,,,,,,,,,,,,,,,,,0.214923,,,,,,,,,,,,,9cfb67e0-61cb-4231-b9a6-58bf2490150f,655,,"[117.5, 36.5]",3879628,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giacomo Bonaventura,7026.0,Left Midfield,28,AC Milan,243,"['40463b09-8f46-4c52-a1d7-943459fd3c79', '66da1c99-d709-4303-abca-e52b901edb42']",43,,Left Foot,"[120.0, 38.4, 1.4]",,"[{'location': [116.5, 37.6], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.6, 51.9], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.4, 51.6], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 34.0], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.1, 53.8], 'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.2, 44.8], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 44.3], 'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [112.2, 51.7], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 47.0], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.9, 45.2], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 43.6], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,True,True,Goal,True,0.8818912,Normal,Open Play,,,,,,AC Milan,243,00:15:43.537,Shot,True
,,,,,,,,,,,,,,,,,1.003008,,,,,,,,,,,,,104f14c5-c2be-4439-a16f-cf7ef194e300,676,,"[101.6, 56.7]",3879628,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,M''Baye Babacar Niang,5661.0,Right Center Forward,30,AC Milan,243,"['0b167e49-b604-4e19-868c-41ad1b7b6580', 'a6791ae3-5bbc-4287-8f01-b87811d433c7']",2,,Right Foot,"[120.0, 35.1, 0.7]",,"[{'location': [99.1, 48.9], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.7, 36.6], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.3, 54.5], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 46.4], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.9, 50.4], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 38.4], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.8, 43.4], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",54462603-733b-47d1-9c01-ec40efa9cc22,,,Off T,,0.036399897,Normal,Open Play,,,,,,AC Milan,243,00:17:02.285,Shot,True
,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,acfe2dc0-ec6e-4ca4-abb9-b7eab103b4a6,724,,"[87.8, 44.1]",3879628,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Fernando Muriel Fruto,6334.0,Right Center Forward,33,Sampdoria,234,"['44d8bb59-15d1-4d1b-af22-07dc7f04af5e', 'fdb79a22-afe6-4d3d-ab56-03c8411a050b']",7,,Right Foot,"[98.3, 42.1]",,"[{'location': [118.1, 39.8], 'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [78.3, 38.2], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [94.6, 38.9], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.3, 51.4], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.4, 26.0], 'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [89.1, 11.4], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.2, 39.6], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.6, 48.3], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.7, 36.7], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.8, 22.3], 'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.6, 41.4], 'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 46.6], 'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.5, 38.2], 'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.6, 27.9], 'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",f1e191c6-faa6-419a-875b-8900c2fd88c8,,,Blocked,,0.022671346,Normal,Open Play,,,,,,Sampdoria,234,00:18:07.388,Shot,
,,,,,,,,,,,,,,,,,0.780565,,,,,,,,,,,,,2d718a35-dc61-4370-8285-72c51c37fcd5,992,,"[109.8, 61.9]",3879628,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessio Cerci,7702.0,Right Midfield,46,AC Milan,243,['9416c666-725a-4dbd-a91c-8eb21c9b8b15'],26,,Left Foot,"[118.6, 44.2, 0.2]",,"[{'location': [93.2, 36.5], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.0, 34.7], 'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 40.0], 'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.4, 35.3], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.0, 53.1], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [111.8, 59.7], 'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 52.6], 'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.4, 44.7], 'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 38.2], 'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.2, 47.0], 'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.3, 34.8], 'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.6, 43.7], 'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a34553a5-a838-45b9-a642-013f2fc75d04,,,Saved,,0.0063236644,Normal,Open Play,,,,,,AC Milan,243,00:23:26.253,Shot,
