50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Success,,,Collected,d0e6f33e-9409-42f4-8844-3bda07050ee4,2229,,"[3.7, 44.1]",3890338,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Przemysław Tytoń,9082.0,Goalkeeper,156,VfB Stuttgart,174,['e855ce9c-8baa-4e5a-a600-62f99547edfb'],58,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:18:58.442,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Right Hand,,Touched Out,Set,Standing,Shot Saved,1877a445-d7fc-49cb-bffa-0c4aed178d90,2289,,"[4.8, 39.1]",3890338,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Przemysław Tytoń,9082.0,Goalkeeper,160,Ingolstadt,189,['cafd4ce6-9714-4fa7-85bb-5b3ee915ba8c'],9,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:20:09.129,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[5.6, 38.9]",,Set,,Shot Faced,92f0ae43-7490-4dd5-bd62-c1fc98cf23cf,2639,,"[5.6, 38.9]",3890338,74,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Przemysław Tytoń,9082.0,Goalkeeper,176,Ingolstadt,189,['9b78a79c-99cc-43a9-9647-b9b7a148c13d'],46,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:29:46.361,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,In Play Safe,,,Punch,ac034e8d-272f-408b-9a93-8432344fa92b,2926,,"[3.1, 43.1]",3890338,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Przemysław Tytoń,9082.0,Goalkeeper,193,Ingolstadt,189,['e7e0769a-bf25-4189-a3b4-9c1a51e6c34b'],51,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:36:51.288,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Both Hands,,In Play Safe,Set,Standing,Shot Saved,7e900780-0a90-4bcd-b719-491cb54266ff,3103,,"[0.4, 43.3]",3890338,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Przemysław Tytoń,9082.0,Goalkeeper,205,Ingolstadt,189,['a9b0c40a-d226-4684-ace1-97dbf29c4e18'],28,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:44:28.741,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Both Hands,,In Play Safe,Set,Standing,Shot Saved,fa4f99b6-163c-4363-8b34-028c95b8319b,3114,,"[1.0, 41.4]",3890338,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Przemysław Tytoń,9082.0,Goalkeeper,206,Ingolstadt,189,['d8a74c0b-837d-40c6-9b39-7365fad6cf3d'],11,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:45:11.912,Goal Keeper,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,"[3.1, 45.8]",,Set,,Shot Faced,0de83208-936e-4588-843e-035c9017021e,3239,,"[3.1, 45.8]",3890338,93,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Przemysław Tytoń,9082.0,Goalkeeper,214,Ingolstadt,189,['74b988c5-39a3-4080-bd7c-ecf7066ad564'],11,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:48:11.152,Goal Keeper,
,,,,,,,,,,,,,,,,,0.880261,,,,,,,,,,,,,,,5b9dc1d1-c781-498d-9f9d-7f67f51119ed,34,,"[113.2, 42.4]",3890338,1,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Martin Harnik,8557.0,Right Wing,5,VfB Stuttgart,174,"['24446299-f34b-46b5-ae35-0cd90a86f456', '43cb39b4-8544-4d7a-8e1c-47466265ccb8']",29,True,Head,"[120.0, 44.8, 1.4]",,"[{'location': [110.5, 47.4], 'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.8, 38.9], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.5, 36.9], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.3, 33.7], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.3, 46.6], 'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.8, 41.7], 'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.6, 33.8], 'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 42.9], 'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.8, 36.8], 'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.1, 31.3], 'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.6, 42.9], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.3, 5.2], 'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.5, 40.4], 'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 43.6], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 47.7], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.4, 34.9], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.1, 40.8], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",81e928a6-c2ec-4f9d-877e-af185aaa9468,,Off T,,0.09494911,Normal,Open Play,,,,,,VfB Stuttgart,174,00:01:29.258,Shot,True
,,,,,,,,,,,,,,,,,0.250872,,,,,,,,,,,,,,,5248bdf2-7f26-441c-ba03-b645fc5b4fff,74,,"[106.8, 43.8]",3890338,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Romain Brégerie,13332.0,Right Defensive Midfield,8,Ingolstadt,189,"['463b8958-502b-481c-90ae-dc0f7d480d55', '622266bf-5c26-4cce-9b57-c2f1d49ef958']",53,,Right Foot,"[109.5, 40.6]",True,"[{'location': [106.0, 61.1], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.7, 51.7], 'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 46.8], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.9, 50.0], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.3, 45.7], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.8, 46.7], 'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 43.1], 'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 38.8], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.5, 36.9], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.3, 41.1], 'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.4, 62.4], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.5, 45.6], 'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.5, 46.4], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.0, 48.5], 'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.3, 28.1], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 33.7], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 38.0], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",bb2a6e7f-49df-4b6e-9850-e9559110f7f8,,Wayward,,0.08145779,Volley,Open Play,,,,,,Ingolstadt,189,00:02:53.635,Shot,True
,,,,,,,,,,,,,,,,,0.373538,,,,,,,,,,,,,,,2b0d992d-a429-4010-91fb-97686ca8fb60,78,,"[108.1, 40.1]",3890338,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Mathew Leckie,5481.0,Left Wing,9,Ingolstadt,189,['d475d2a3-2406-4d34-ab81-c41048845268'],46,,Right Foot,"[118.8, 41.6, 0.5]",,,,,Saved,,0.7835,Normal,Penalty,,,,,,Ingolstadt,189,00:03:46.176,Shot,
,,,,,,,,,,,,,,,,,0.516692,,,,,,,,,,,,,,,83b88bc7-f6f9-4187-816f-9c608c5ddb30,81,,"[108.7, 47.2]",3890338,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Stefan Lex,40463.0,Right Wing,9,Ingolstadt,189,['a8875a15-d839-4b25-aa7f-147652d5af53'],47,,Right Foot,"[120.0, 49.0, 4.5]",True,"[{'location': [117.1, 41.9], 'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.6, 35.0], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [106.4, 44.4], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.0, 38.2], 'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.7, 39.9], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 37.0], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.4, 49.8], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.3, 46.8], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.4, 46.5], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.4, 42.1], 'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 36.0], 'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.6, 32.6], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.6, 32.6], 'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Off T,,0.26843596,Normal,Open Play,,,,,,Ingolstadt,189,00:03:47.061,Shot,
,,,,,,,,,,,,,,,,,1.382127,,,,,,,,,,,,,,,08a762d5-f73c-4e53-93ca-80c2f5b3b1c6,110,,"[89.1, 46.2]",3890338,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Florian Klein,9728.0,Right Back,12,VfB Stuttgart,174,['9435fbe7-2a23-4a5a-95b2-775573157f8a'],7,,Right Foot,"[120.0, 43.0, 5.1]",,"[{'location': [117.1, 40.2], 'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.7, 30.0], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.3, 24.2], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.5, 46.4], 'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 33.9], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.3, 35.8], 'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.9, 45.2], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 22.9], 'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.8, 43.4], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [87.7, 40.8], 'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.3, 48.0], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.1, 14.6], 'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.4, 32.8], 'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.4, 33.1], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.3, 27.9], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",8f20a95f-204d-4ad0-a380-39ab1db4a12d,,Off T,,0.0222002,Normal,Open Play,,,,,,VfB Stuttgart,174,00:05:07.082,Shot,
,,,,,,,,,,,,,,,,,0.267084,,,,,,,,,,,,,,,c1a9e03d-8aef-4a62-8192-a3461dee762e,166,,"[93.3, 34.2]",3890338,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Emiliano Adrián Insúa Zapata,12626.0,Left Back,15,VfB Stuttgart,174,"['4ae53fca-fd40-470f-8321-73f8afc383a5', 'a99aa096-e78a-4bc2-9a47-039ca0293515']",57,,Left Foot,"[98.2, 34.9]",True,"[{'location': [101.5, 21.3], 'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.3, 25.4], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.6, 39.7], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.5, 41.6], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 42.0], 'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.5, 37.2], 'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 32.4], 'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.8, 34.5], 'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.3, 38.9], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.5, 40.0], 'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.9, 50.4], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 20.9], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.5, 57.4], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.8, 51.1], 'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.4, 44.4], 'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.4, 38.6], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.7, 36.5], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [86.1, 47.8], 'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",56532cd9-33fa-4cd4-9176-78f7cc2e9e7c,,Blocked,,0.02509459,Normal,Open Play,,,,,,VfB Stuttgart,174,00:06:57.650,Shot,
,,,,,,,,,,,,,,,,,0.221617,,,,,,,,,,,,,,,5cb14b62-c071-4f0f-8c21-5ad6a4fe11f9,228,,"[111.4, 33.8]",3890338,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Timo Werner,5557.0,Center Forward,19,VfB Stuttgart,174,"['14898625-cd7f-4413-8151-5ab8c16d557e', '2adaaf4b-375a-4639-8bbd-15bb0a5331a6', '996fb6cc-9199-4c21-b3fc-9e6e8fb900f9']",30,,Left Foot,"[112.3, 34.1]",,"[{'location': [102.5, 43.3], 'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.3, 16.1], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.3, 28.5], 'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [116.1, 37.4], 'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.5, 22.6], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 40.8], 'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 34.4], 'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 19.1], 'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.9, 25.2], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.2, 37.5], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 38.0], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.3, 41.7], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.8, 51.1], 'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",10774260-2c7a-45d7-8fb0-a4181bd807f9,,Blocked,,0.07140218,Normal,Open Play,,,,,,VfB Stuttgart,174,00:08:30.020,Shot,True
,,,,,,,,,,,,,,,,,0.507497,,,,,,,,,,,,,,,9d5faeb8-c5e9-4fbe-8caa-28fb6d333ada,233,,"[108.1, 30.6]",3890338,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lukas Rupp,11395.0,Left Defensive Midfield,19,VfB Stuttgart,174,"['b4a13c93-23dd-431f-8e3c-d08fbe848ef3', 'dd120a0c-6dc5-41f1-8d81-8085c38099c8']",32,,Left Foot,"[112.1, 38.5]",True,"[{'location': [116.2, 35.8], 'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.1, 37.2], 'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 40.3], 'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.3, 27.8], 'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.1, 31.3], 'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.4, 35.4], 'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 29.6], 'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.3, 21.0], 'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.3, 44.1], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.0, 12.8], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.2, 42.6], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.4, 48.2], 'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.2, 30.1], 'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 38.3], 'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Wayward,,0.09514612,Volley,Open Play,,,,,,VfB Stuttgart,174,00:08:32.096,Shot,True
