50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,131e1d68-a7ef-474a-97c8-c1059c441ba2,1,,,,3788765,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5548, 'name': 'Steven Zuber'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25e84685-508e-48ff-a621-d0c81503bbd3,2,,,,3788765,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 30357, 'name': 'Uğurcan Çakır'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10349, 'name': 'Mehmet Zeki Çelik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23558, 'name': 'Merih Demiral'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8963, 'name': 'Caglar Söyüncü'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10826, 'name': 'Mert Müldür'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6971, 'name': 'Cengiz Ünder'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 11088, 'name': 'Ozan Tufan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 30311, 'name': 'İrfan Can Kahveci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 11086, 'name': 'Burak Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Turkey,909,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9750aed-156f-466f-bcf7-b4e15e3bc371,3,,,,3788765,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['fee63e77-b78a-4c69-85ca-9d4661e7a344'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fee63e77-b78a-4c69-85ca-9d4661e7a344,4,,,,3788765,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['e9750aed-156f-466f-bcf7-b4e15e3bc371'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5d3184e-ae33-41d7-9c0f-eed13556b353,2013,,,,3788765,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,96,Switzerland,773,['3fb60b06-9d61-4ac9-848b-eac50181b2ac'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fb60b06-9d61-4ac9-848b-eac50181b2ac,2014,,,,3788765,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,96,Switzerland,773,['c5d3184e-ae33-41d7-9c0f-eed13556b353'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.243733,,,,,,,,,,,,,6eda9e40-9fa7-481a-83e6-b41dd0884c0e,5,,,"[61.0, 40.1]",3788765,0,,,,,2.9827685,,Left Foot,,,,"[37.9, 43.8]",,Ground Pass,,23.394444,,,,Manuel Obafemi Akanji,5549.0,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Switzerland,773,['08faecce-100f-44bd-bdb1-a01ff80b7ebf'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.782,Pass,
,,,,,,,,,,,,,,,1.00939,,,,,,,,,,,,,9a458146-835b-4dbd-a774-a088c5b95911,8,,,"[56.3, 40.4]",3788765,0,,,,,-0.33419806,,Right Foot,,,,"[77.9, 32.9]",,Ground Pass,,22.865038,,,,Granit Xhaka,3500.0,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Center Back,2,Switzerland,773,['93bcd03a-a9c1-4fdf-91e1-8c62b6086a24'],6,,,,,,,,,,,,,,,,,Switzerland,773,00:00:06.204,Pass,
,,,,,,,,,,,,,,,0.99828,,,,,,,,,,,,,dd81820c-184f-4f57-bbf3-52aefcadd0e6,12,,,"[77.5, 24.8]",3788765,0,,,,,-1.1748787,,Left Foot,,,,"[85.4, 5.9]",,Ground Pass,,20.484629,,,,Steven Zuber,5548.0,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,['aae163dc-d8b0-4442-b13a-9910005fe388'],8,,,,,,,,,,,,,,,,,Switzerland,773,00:00:08.929,Pass,
,,,,,,,,,,,,,,,0.858599,,,,,,,,,,,,,0c1f2081-9a30-4c2e-b205-7d060547e677,15,,,"[85.4, 5.9]",3788765,0,,,,,1.0503379,,Right Foot,,,,"[90.1, 14.1]",,Ground Pass,,9.451455,,,,Xherdan Shaqiri,3533.0,,,,,,1,From Kick Off,Steven Zuber,5548.0,Left Wing Back,2,Switzerland,773,['3b1fe53a-e44c-4195-8f2f-17253231664e'],10,,,,,,,,,,,,,,,,,Switzerland,773,00:00:10.743,Pass,
