ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,edd91e13-123e-4092-8d63-a02540530bba,1,,,,3788744,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 22074, 'name': 'Joseff Morrell'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 3853, 'name': 'Kieffer Roberto Francisco Moore'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Wales,907,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,836008d8-601d-4799-b329-ee076aaa7f78,2,,,,3788744,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16027, 'name': 'Kevin Mbabu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9e93e57f-1d34-4221-bc85-0ced7c9637db,3,,,,3788744,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['b00ad219-d0e0-484b-b0de-c114d30739b8'],0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b00ad219-d0e0-484b-b0de-c114d30739b8,4,,,,3788744,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['9e93e57f-1d34-4221-bc85-0ced7c9637db'],0,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a1d0b2ff-e957-459c-be36-7f0c2d85d722,1586,,,,3788744,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,76,Switzerland,773,['4ef1db7c-7701-411a-81c1-40ffd4ac9483'],0,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4ef1db7c-7701-411a-81c1-40ffd4ac9483,1587,,,,3788744,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,76,Switzerland,773,['a1d0b2ff-e957-459c-be36-7f0c2d85d722'],0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.469597,,,,,,,,,,,,857f7b2e-3e53-460b-95ef-5c5bfe9478be,5,,,"[61.0, 40.1]",3788744,0,,,,-2.6702528,,Left Foot,,,"[35.1, 26.9]",,Ground Pass,,29.069744,,,Manuel Obafemi Akanji,5549.0,,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Switzerland,773,['a8987b2b-62b2-45d3-95ec-d8e6d496f304'],0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.687,Pass,
,,,,,,,,,,,,,,,,3.542178,,,,,,,,,,,,0f9cb0e4-adfc-472f-9273-8dea213403b8,8,,,"[36.8, 27.3]",3788744,0,,,,0.5679969,,Right Foot,,,"[92.9, 63.1]",,High Pass,,66.54961,Incomplete,,Kevin Mbabu,16027.0,,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Left Center Back,2,Switzerland,773,"['57df3df3-e2c0-4f4f-b346-98695c084c4b', '610b8a75-7b62-45c1-8e60-7cca20675c38']",3,,,,,,,,,,,,,,,,Switzerland,773,00:00:03.525,Pass,
,,,,,,,,,,,,,,,,1.367409,,,,,,,,,,,,57df3df3-e2c0-4f4f-b346-98695c084c4b,11,,,"[27.2, 17.0]",3788744,0,,,True,0.067566164,,,,,"[40.5, 17.9]",,High Pass,,13.330417,,,Aaron Ramsey,3517.0,,,,,,Recovery,1,From Counter,Joe Rodon,11250.0,Left Center Back,3,Wales,907,"['0b723983-1d8f-4980-ae8b-10a20da8dbb6', '0f9cb0e4-adfc-472f-9273-8dea213403b8', '3d41ef76-8984-45fd-84de-2404cb42c002']",7,,,,,,,,,,,,,,,,Wales,907,00:00:07.067,Pass,True
,,,,,,,,,,,,,,,,0.834337,,,,,,,,,,,,01b0ea94-9fd4-4ea8-9684-d0cc26ab6bc2,14,,,"[42.0, 19.8]",3788744,0,,,,0.03844259,,Right Foot,,,"[55.0, 20.3]",,Low Pass,,13.009612,,,Kieffer Roberto Francisco Moore,3853.0,,,,,,,1,From Counter,Aaron Ramsey,3517.0,Left Center Midfield,3,Wales,907,['f0092734-61d1-4842-8fab-1662561811d8'],8,,,,,,,,,,,,,,,,Wales,907,00:00:08.940,Pass,
