ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,87894077-51d9-4457-b8c1-6156e2382163,2350,,,"[56.1, 74.2]",3775552,61,,True,True,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Esther Morgan,53440.0,Right Back,154,Tottenham Hotspur Women,749,,34,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:16:34.413,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e343c3bf-b334-40f0-95f9-7bea51137d21,2470,,,"[30.1, 78.0]",3775552,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Claire Emslie,4646.0,Right Wing,163,Tottenham Hotspur Women,749,['51392f5a-1e66-44e9-af18-5a00098f6618'],7,,,,,,,,,,,,,,,,,Everton LFC,967,00:21:07.560,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,53a811e2-3856-4d2d-8453-3bd8125825e4,2540,,,"[62.6, 20.3]",3775552,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ria Percival,18145.0,Left Defensive Midfield,165,Tottenham Hotspur Women,749,['9a6109ff-ffb2-4fab-bf26-5f9c6fff9295'],26,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:22:26.538,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aaedf039-c1f7-458a-aed4-d0f363279069,2658,,,"[87.5, 14.6]",3775552,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kit Graham,31551.0,Center Attacking Midfield,172,Tottenham Hotspur Women,749,['e52fd33e-9b6d-464f-af18-b1c461451c26'],47,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:25:47.227,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,560ca7ee-7808-4735-9d84-e5510567138f,2670,,,"[33.6, 66.4]",3775552,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jill Scott,10172.0,Right Center Midfield,173,Everton LFC,967,"['38e26b05-0e3b-4adf-a182-a0368c09cf8f', 'efdab582-dc83-4660-8dff-56bc1fcce124']",51,,,,,,,,,,,,,,,,,Everton LFC,967,00:25:51.959,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e3996fd-e8d5-4ce3-9eb5-7abf0a6a6373,2739,,,"[57.5, 59.8]",3775552,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Simone Magill,15559.0,Center Forward,176,Everton LFC,967,,27,,,,,,,,,,,,,,,,,Everton LFC,967,00:27:27.784,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,12367573-b16f-4186-8be8-d81580674882,2935,,,"[87.5, 6.5]",3775552,79,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Nicoline Sørensen,10274.0,Left Wing,189,Everton LFC,967,,3,,,,,,,,,,,,,,,,,Everton LFC,967,00:34:03.630,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,977b6ba6-3b5c-43e9-82af-865dc0068fb2,2956,,,"[115.1, 12.0]",3775552,80,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Nicoline Sørensen,10274.0,Left Wing,193,Everton LFC,967,['14941c4f-6d6d-4505-91bb-89240cf4939e'],5,,,,,,,,,,,,,,,,,Everton LFC,967,00:35:05.750,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2635639d-ab51-4211-a045-05baa7cd0abf,2978,,,"[58.5, 69.0]",3775552,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Hayley Emma Raso,6818.0,Right Wing,195,Everton LFC,967,['c5542208-528e-4e78-93a8-5f08df409dc4'],37,,,,,,,,,,,,,,,,,Everton LFC,967,00:35:37.484,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ecfe71a4-5d28-4321-9fcc-b9d8bbabaf38,2992,,,"[108.8, 45.7]",3775552,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Simone Magill,15559.0,Center Forward,195,Everton LFC,967,,50,,,,,,,,,,,,,,,,,Everton LFC,967,00:35:50.147,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d1b3d824-ca4e-456a-a4b4-64324e1c96ab,3027,,,"[39.3, 1.9]",3775552,82,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Lucy Quinn,15564.0,Left Wing,197,Tottenham Hotspur Women,749,,5,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:37:05.540,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,25e97592-419a-4507-a246-ec10498b4887,3034,,,"[96.3, 78.8]",3775552,82,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Simone Magill,15559.0,Center Forward,198,Everton LFC,967,,24,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:24.049,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7eaaed16-28dd-4f95-8564-ae775c75bf7d,3119,,,"[50.6, 8.0]",3775552,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Rianna Dean,31702.0,Center Forward,203,Tottenham Hotspur Women,749,,6,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:39:06.893,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c3c4152c-e443-4617-bbf5-1212e53b54bd,3140,,,"[25.5, 16.4]",3775552,84,,,True,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gabrielle George,15575.0,Left Center Back,204,Everton LFC,967,,31,,,,,,,,,,,,,,,,,Everton LFC,967,00:39:31.490,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08d733cb-6821-4d49-a164-77e6a470b3cb,3158,,,"[116.7, 31.5]",3775552,84,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kerys Harrop,15569.0,Left Back,205,Tottenham Hotspur Women,749,,55,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:39:55.261,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8e9fde64-b34e-44da-8143-25ef94faeadc,3173,,,"[52.8, 12.7]",3775552,85,,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Alanna Stephanie Kennedy,5078.0,Right Defensive Midfield,208,Everton LFC,967,,33,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:40:33.754,Miscontrol,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b5f58cc8-fbe9-4a1b-9243-fce9799cfc6f,3209,,,"[87.3, 15.2]",3775552,86,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucy Quinn,15564.0,Left Wing,209,Tottenham Hotspur Women,749,['048899e4-df15-4330-a945-24cba490f0c9'],6,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:41:06.790,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8c4abf90-bf64-46fb-95e2-e7245129359a,3309,,,"[86.5, 60.6]",3775552,88,True,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Hayley Emma Raso,6818.0,Right Wing,216,Tottenham Hotspur Women,749,['4cd5845f-f3ae-4d2f-a490-b4879e7c6d37'],40,,,,,,,,,,,,,,,,,Everton LFC,967,00:43:40.103,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,37eb07fe-2157-4587-838e-ef2e6cd969e2,3425,,,"[57.9, 78.0]",3775552,91,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Simone Magill,15559.0,Center Forward,224,Everton LFC,967,['c2f202ef-682f-401c-bfbe-c0f0402d5660'],32,,,,,,,,,,,,,,,,,Everton LFC,967,00:46:32.716,Miscontrol,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9e656ebd-0d97-4d8b-99e3-28deaa26d098,3509,,,"[113.7, 6.1]",3775552,95,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Isobel Mary Christiansen,4645.0,Left Center Midfield,232,Everton LFC,967,,40,,,,,,,,,,,,,,,,,Everton LFC,967,00:50:40.289,Miscontrol,
,,,,,,,,,,,,,,,,0.056994,,,,,,,,,,,,,,,3067a422-0413-468a-82b9-d8c612fdfb2b,162,,,"[104.4, 34.1]",3775552,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Angela Addison,31550.0,Left Wing,14,Tottenham Hotspur Women,749,"['74dddce0-569d-406f-90d2-41cc7bcdba44', 'cf3ed10f-da80-493e-8e30-abcbd81f894e']",33,,Left Foot,"[105.8, 34.6]",,"[{'location': [117.9, 38.9], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.7, 42.0], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 35.5], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",ec5a94b6-7ce2-4231-ac93-8229ac62eb95,,Blocked,0.14805806,Normal,Open Play,,,,,,Tottenham Hotspur Women,749,00:03:33.917,Shot,
,,,,,,,,,,,,,,,,1.384722,,,,,,,,,,,,,,,2092abee-2702-40cd-8b10-422d8a0e7209,168,,,"[113.1, 45.8]",3775552,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Alanna Stephanie Kennedy,5078.0,Right Defensive Midfield,15,Tottenham Hotspur Women,749,"['3f78f197-ba97-44f7-9c9f-d27de2c9dff7', 'c479299e-55d9-4b45-b5b5-80e0fdb7f1d6']",11,True,Head,"[120.0, 30.7, 1.7]",,"[{'location': [101.7, 36.9], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.8, 45.1], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 46.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 43.7], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 35.4], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.4, 41.4], 'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.0, 41.9], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.7, 37.4], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.2, 42.8], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.8, 42.4], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.0, 35.3], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.8, 42.1], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.5, 44.6], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",77d99931-9c4f-4ab8-bf43-d1bb27d3be48,,Off T,0.0609109,Normal,Open Play,,,,,,Tottenham Hotspur Women,749,00:04:11.898,Shot,True
,,,,,,,,,,,,,,,,0.570968,,,,,,,,,,,,,,,7c5bf83b-3b27-4f83-8faf-868c6d1d18f6,243,,,"[108.0, 40.0]",3775552,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Valérie Gauvin,25442.0,Center Forward,19,Everton LFC,967,['410445b3-2657-48c3-915f-ed45a127bba5'],12,,Right Foot,"[120.0, 43.5, 0.4]",,,,,Goal,0.7835,Normal,Penalty,,,,,,Everton LFC,967,00:07:12.172,Shot,
,,,,,,,,,,,,,,,,0.087857,,,,,,,,,,,,,,,4bb69a2c-2229-498a-9b5f-abd38c709cf4,559,,,"[88.4, 47.3]",3775552,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ria Percival,18145.0,Left Defensive Midfield,36,Tottenham Hotspur Women,749,"['47af6cb5-8d1b-46cd-b4c9-dfd965951e02', '6b85afc4-960b-4f83-99ea-a46fffd7c30d']",40,,Right Foot,"[92.8, 46.7]",,"[{'location': [98.3, 29.1], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.5, 40.5], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.2, 28.6], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.5, 46.7], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.1, 48.5], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.3, 42.0], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.4, 37.2], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.2, 34.1], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [79.3, 38.1], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [96.1, 57.9], 'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.1, 38.5], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.8, 29.3], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.7, 30.5], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",3f9d2f67-6aec-4309-8eac-a8161b00240c,,Blocked,0.022456069,Normal,Open Play,,,,,,Tottenham Hotspur Women,749,00:14:40.530,Shot,
,,,,,,,,,,,,,,,,0.721454,,,,,,,,,,,,,,,e73d5a98-aa1f-4098-b928-422a6a05cbd5,627,,,"[108.0, 40.0]",3775552,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Valérie Gauvin,25442.0,Center Forward,41,Everton LFC,967,['775ae4e6-4685-49d1-8393-30258ffeadac'],39,,Right Foot,"[120.0, 37.6, 0.2]",,,,,Goal,0.7835,Normal,Penalty,,,,,,Everton LFC,967,00:17:39.582,Shot,
,,,,,,,,,,,,,,,,0.085762,,,,,,,,,,,,,,,43a556eb-447f-425c-8d60-ed5e9d280dd8,687,,,"[112.3, 36.9]",3775552,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alanna Stephanie Kennedy,5078.0,Right Defensive Midfield,45,Tottenham Hotspur Women,749,"['3ad5be23-b137-40c6-91b8-f55a278f121e', '8abd9e8c-88fb-4518-86ad-c2693ac66da0', 'd9624d67-462a-4b06-8bbf-7a910f6ced2d']",3,,Left Foot,"[113.8, 37.2]",,"[{'location': [116.2, 38.7], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 45.6], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 43.8], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 43.2], 'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.6, 44.1], 'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.5, 38.1], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.4, 50.5], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.5, 37.0], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.6, 40.0], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.4, 43.8], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.8, 48.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.9, 39.9], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.9, 39.1], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",0af808c5-d851-47bd-8aa7-91897dc0ccb8,,Blocked,0.12605329,Volley,Open Play,,,,,,Tottenham Hotspur Women,749,00:20:03.900,Shot,True
,,,,,,,,,,,,,,,,1.076009,,,,,,,,,,,,,,,a7537b89-4375-4f31-95d0-9611cbf99d3f,878,,,"[110.2, 42.2]",3775552,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Valérie Gauvin,25442.0,Center Forward,56,Everton LFC,967,['91b87221-8d75-4522-8678-0ed37d20bb72'],16,,Head,"[120.0, 39.5, 3.7]",,"[{'location': [98.8, 51.4], 'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.4, 48.1], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 53.1], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.3, 43.2], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 48.6], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.5, 37.3], 'player': {'id': 53440, 'name': 'Esther Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 61.0], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.1, 57.7], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.7, 64.0], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.6, 41.2], 'player': {'id': 36800, 'name': 'Aurora Watten Mikalsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a2cdc185-0354-49bc-ad19-ecf0d543b0ca,,Off T,0.11896047,Normal,Open Play,,,,,,Everton LFC,967,00:24:16.385,Shot,
,,,,,,,,,,,,,,,,0.976482,,,,,,,,,,,,,,,fde69cc9-5b66-46b9-896c-522a5778d5ed,1052,,,"[114.6, 38.9]",3775552,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jill Scott,10172.0,Right Center Midfield,68,Everton LFC,967,"['0adeccf6-6000-4a6c-a8b9-e948d27f0d13', 'c314a6f1-bc47-4dd8-b4aa-154682f930d7']",5,True,Head,"[120.0, 50.0, 2.4]",,"[{'location': [112.1, 37.8], 'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 28.1], 'player': {'id': 53440, 'name': 'Esther Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.4, 38.4], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.5, 40.0], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 41.5], 'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.1, 40.1], 'player': {'id': 36800, 'name': 'Aurora Watten Mikalsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3c3c3f49-760e-4212-a604-260614c7fe46,True,Off T,0.21489574,Normal,Open Play,,,,,,Everton LFC,967,00:30:05.759,Shot,True
,,,,,,,,,,,,,,,,1.933423,,,,,,,,,,,,,,,d407a33d-0ee2-4db5-a7d8-e940e3f65434,1166,,,"[108.2, 32.3]",3775552,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Angela Addison,31550.0,Left Wing,76,Tottenham Hotspur Women,749,['c1151f0c-3acf-4c49-a00b-88e0386ed6e8'],36,,Left Foot,"[120.0, 40.9, 0.5]",True,"[{'location': [99.3, 34.8], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.8, 43.2], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 32.3], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.1, 26.1], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.3, 32.8], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",1f3c47a4-a96f-4ad7-b044-3e744527e832,,Goal,0.45043018,Lob,Open Play,,,,,,Tottenham Hotspur Women,749,00:34:36.052,Shot,
,,,,,,,,,,,,,,,,0.063492,,,,,,,,,,,,,,,8495e244-ed6b-4962-9d53-85868f3dafe9,1256,,,"[101.2, 54.8]",3775552,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alanna Stephanie Kennedy,5078.0,Right Defensive Midfield,83,Tottenham Hotspur Women,749,"['bd5dd7ba-b7c0-4371-9e83-41f34d909ce3', 'bf33fca4-97ed-4e94-bcc4-411af6a2a2ee']",27,,Right Foot,"[102.8, 53.5]",,"[{'location': [104.6, 35.0], 'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.3, 41.0], 'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.2, 48.1], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 42.9], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.8, 55.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.7, 50.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.5, 52.1], 'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.1, 26.8], 'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.3, 49.9], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 49.8], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.3, 26.4], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.2, 44.5], 'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.8, 34.9], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",,,Blocked,0.032659054,Normal,Open Play,,,,,,Tottenham Hotspur Women,749,00:37:27.436,Shot,
