bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,dee555a8-6a01-4c43-9ec3-e9f919ee3e12,1688,,"[11.4, 44.1]",3825897,48,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jon Ansotegi Gorostola,26764.0,Right Center Back,115,Real Sociedad,210,['d6128973-9c37-4e43-8de8-1c26c1cac7ad'],5,,,,,,,,,,,,,,,,,,Eibar,322,00:03:05.106,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,91a466bc-0572-4abf-a392-c7f2bcac87d1,1762,,"[36.4, 29.9]",3825897,49,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Ramis Barrios,6778.0,Left Center Back,121,Real Sociedad,210,['5bf4205e-34cb-453d-ab2a-eaff573569f3'],49,,,,,,,,,,,,,,,,,,Eibar,322,00:04:49.863,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,164aabda-0d3a-444c-afc7-b0f1a6e3723b,2035,,"[11.2, 44.6]",3825897,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aritz Elustondo Irribaria,6679.0,Right Back,135,Eibar,322,['89e7a5d8-bd84-4ae6-b2c5-14f6c5e51b77'],29,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:12:29.662,Clearance,True
,,,,,,True,Head,True,,,,,,,,0.0,,,,,,,,,,,,,bb3aab91-1c4f-4fff-a18f-4ddebc50cc70,2328,,"[56.1, 63.3]",3825897,66,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Markel Bergara Larrañaga,6633.0,Right Defensive Midfield,155,Eibar,322,"['8bdf0b8a-5356-4771-9bd8-f71551b2e160', 'f4e0a565-1841-4e9f-bddf-aac0c314f9e6']",25,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:21:25.990,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,2405033e-5152-4edf-aa93-d569f461b704,2457,,"[10.0, 34.4]",3825897,70,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Ramis Barrios,6778.0,Left Center Back,165,Real Sociedad,210,['ff2eda09-2b0d-419a-beb3-5ad639fc058a'],45,,,,,,,,,,,,,,,,,,Eibar,322,00:25:45.798,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,f575b025-b882-4bb1-bca2-3695218d6e0a,2486,,"[5.3, 48.0]",3825897,71,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel García Carrillo,6775.0,Right Defensive Midfield,168,Real Sociedad,210,['e9c55752-a57f-48da-bf2d-fd33f4edb98f'],28,,,,,,,,,,,,,,,,,,Eibar,322,00:26:28.800,Clearance,True
,,,,,,,Other,,,True,,,,,,0.0,,,,,,,,,,,,,77a3faf7-ba12-4630-a3c4-a60c2d8e7790,2578,,"[8.2, 49.4]",3825897,74,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jon Ansotegi Gorostola,26764.0,Right Center Back,173,Real Sociedad,210,['0a35e25e-188e-4973-875b-3338d52221b5'],15,,,,,,,,,,,,,,,,,,Eibar,322,00:29:15.189,Clearance,True
,,,,,,True,Head,True,,,,,,,,0.0,,,,,,,,,,,,,7b40594f-c7ee-49c5-aedc-021c8d5c3237,2660,,"[34.3, 12.8]",3825897,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yuri Berchiche Izeta,3023.0,Left Back,178,Eibar,322,"['75b221e3-ad74-49f1-a5b0-e8a867873e76', 'c8e80557-62f6-4ec5-acbc-a211e6f69cf9']",8,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:31:08.937,Clearance,True
,,,,,,,Right Foot,,,,True,,,,,0.0,,,,,,,,,,,,,3b9507af-5de2-4feb-af33-6345bc4ba50a,2697,,"[15.2, 52.3]",3825897,76,,,True,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jon Ansotegi Gorostola,26764.0,Right Center Back,179,Real Sociedad,210,['dbf5fd11-b23b-4a4a-9fb2-4d8d7ba3db85'],37,,,,,,,,,,,,,,,,,,Eibar,322,00:31:37.751,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,911d0364-0308-405f-afeb-786c5525d379,2907,,"[11.4, 34.8]",3825897,82,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Ramis Barrios,6778.0,Left Center Back,189,Real Sociedad,210,['f8cabbf4-0094-44ba-9723-de6576a877ee'],29,,,,,,,,,,,,,,,,,,Eibar,322,00:37:29.817,Clearance,True
,,,,,,,Right Foot,,,,True,,,,,0.0,,,,,,,,,,,,,ed1228bd-6f5b-40c6-b244-8f43cec69792,2974,,"[22.5, 11.3]",3825897,84,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Antonio Manuel Luna Rodríguez,6675.0,Left Back,192,Real Sociedad,210,,5,,,,,,,,,,,,,,,,,,Eibar,322,00:39:05.836,Clearance,True
,,,,,,,Right Foot,,,,True,,,,,0.0,,,,,,,,,,,,,002ceb27-bf5d-422d-844c-ed00a3502d22,3055,,"[104.4, 57.1]",3825897,90,,,True,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Asier Illarramendi Andonegi,6671.0,Left Defensive Midfield,200,Eibar,322,['5e6ff23b-378c-4d0d-ae46-163051294283'],14,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:45:14.531,Clearance,True
,,,,,,,Head,True,,,,,,,,0.0,,,,,,,,,,,,,eba4cbb1-b78b-4cf6-9008-3c025227ea99,3121,,"[11.8, 45.7]",3825897,92,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Diego Antonio Reyes Rosales,16539.0,Right Center Back,203,Eibar,322,['848cc39b-d27f-4750-8e7a-df0fe4933f4e'],31,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:47:31.053,Clearance,True
,,,,,,,Right Foot,,,,True,,,,,0.0,,,,,,,,,,,,,e96369fd-51cb-4508-a659-47509f4e7933,3142,,"[2.2, 51.1]",3825897,92,,,True,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Ramis Barrios,6778.0,Left Center Back,204,Real Sociedad,210,,54,,,,,,,,,,,,,,,,,,Eibar,322,00:47:54.962,Clearance,True
,,,,,,,,,,,,,,,,0.156722,,,,,,,,,,,,,e5c3556a-6247-4a83-8d50-d57db8c7969a,65,,"[101.6, 21.9]",3825897,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Takashi Inui,5687.0,Left Midfield,6,Eibar,322,"['0ffb87f9-f19c-4ae7-b99a-36e60cbc45a2', 'b4961183-2799-4dbb-b833-4e6fc4fe63dc', 'cf631f5a-8865-45f6-a2f5-2e5c15eb63b1']",55,,Right Foot,,"[104.8, 25.1]",True,"[{'location': [104.3, 41.7], 'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.0, 39.1], 'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.6, 41.0], 'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 35.7], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 30.2], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 32.9], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.1, 21.3], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.7, 18.4], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.7, 25.2], 'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 14.0], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.8, 37.0], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.5, 27.2], 'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.1, 45.1], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [87.1, 16.2], 'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [109.3, 34.2], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",9541b2d6-73b8-4f01-a31e-6dad9fa3619c,,Blocked,0.017789394,Half Volley,Open Play,,,,,,Eibar,322,00:01:55.363,Shot,True
,,,,,,,,,,,,,,,,1.110289,,,,,,,,,,,,,22c51103-cd41-433f-9874-e2153bfe4e83,219,,"[99.8, 26.2]",3825897,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Zurutuza Veillet,6669.0,Left Wing,17,Real Sociedad,210,['48144b6e-2aa7-4faa-b6a5-904bc2840876'],8,,Right Foot,,"[120.0, 43.0, 1.9]",,"[{'location': [95.4, 53.2], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.3, 24.1], 'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.9, 30.7], 'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [92.9, 17.4], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.4, 16.2], 'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 25.1], 'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 32.1], 'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.5, 8.1], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [92.7, 31.0], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.9, 50.5], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.1], 'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",061ff64d-fd61-48a3-be42-14e1562cac94,,Goal,0.04970061,Half Volley,Open Play,,,,,,Real Sociedad,210,00:06:08.611,Shot,
,,,,,,,,,,,,,,,,1.148816,,,,,,,,,,,,,3e62bc8b-dddb-4845-94e8-1dd15087f1c8,1011,,"[104.7, 35.4]",3825897,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Carlos Alberto Vela Garrido,5560.0,Center Forward,62,Real Sociedad,210,"['04a670f2-6497-4bac-912a-687127be7522', 'd7212794-17ae-4291-8ca7-810e30664134']",48,,Left Foot,,"[120.0, 34.6, 0.6]",,"[{'location': [112.0, 37.9], 'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 38.0], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 36.3], 'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",2fa68048-1101-4e86-aeb7-63f35dd69006,,Off T,0.16218399,Lob,Open Play,,,,,,Real Sociedad,210,00:25:48.071,Shot,True
,,,,,,,,,,,,,,,,0.907835,,,,,,,,,,,,,9ad09032-d875-42fa-a517-81bca8fcf6de,1118,,"[107.9, 39.1]",3825897,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jon Ansotegi Gorostola,26764.0,Right Center Back,68,Eibar,322,"['12816266-aed3-4a77-9abb-e63be98a15a6', '5c362ce5-0a7f-488a-a67e-0c24ddf10541']",40,True,Head,,"[118.7, 40.0, 2.1]",,"[{'location': [110.0, 41.7], 'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.7, 21.3], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.8, 42.1], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.2, 41.6], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.7, 40.1], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.4, 39.5], 'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.2, 46.9], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.7, 43.7], 'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.5, 34.7], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.9, 47.7], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.9, 40.2], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.6, 27.9], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.4, 43.4], 'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 38.5], 'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.6, 31.9], 'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [119.1, 39.9], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.0, 24.3], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",638c8232-145c-43e8-b74c-d80fce8ddfc9,,Saved,0.04488767,Normal,Open Play,,,,,,Eibar,322,00:29:40.472,Shot,True
,,,,,,,,,,,,,,,,0.065143,,,,,,,,,,,,,7eb854d4-22bf-4a4c-a6b5-17984301a33c,1174,,"[115.4, 32.8]",3825897,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Enrich Ametller,6700.0,Right Center Forward,75,Eibar,322,"['7f4ed033-96b5-47fc-b576-04a2619c0ac5', 'd73002a3-3c89-49e4-b34c-414c2d4cf02b']",30,,Head,True,"[120.0, 38.8, 2.0]",,"[{'location': [118.8, 38.5], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 39.6], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.8, 52.6], 'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.5, 42.3], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.1, 34.7], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 31.6], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.9, 31.6], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.6, 27.8], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.4, 31.2], 'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",0e11b653-ef38-400e-b95f-14c25a3b4b46,,Goal,0.08333788,Normal,Open Play,,,,,,Eibar,322,00:31:30.340,Shot,
,,,,,,,,,,,,,,,,1.644485,,,,,,,,,,,,,da1c885e-9ffb-45e5-9065-8f27ac7805dc,1199,,"[105.6, 41.6]",3825897,33,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Markel Bergara Larrañaga,6633.0,Right Defensive Midfield,79,Real Sociedad,210,"['e176d728-13ad-4e38-a965-87fa86734266', 'fdbbb392-dd35-4c53-845f-d471544e304e']",30,True,Head,,"[115.1, 41.1]",,"[{'location': [95.7, 59.2], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.9, 41.0], 'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.9, 45.4], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.3, 28.4], 'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.0, 39.7], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.4, 40.6], 'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.9, 43.4], 'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 31.6], 'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.1, 39.2], 'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.4, 38.4], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.0, 44.8], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.3, 47.6], 'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",21614dc5-1c0b-4bce-b239-c5a7af8b192a,,Wayward,0.03513834,Normal,Open Play,,,,,,Real Sociedad,210,00:33:30.222,Shot,True
,,,,,,,,,,,,,,,,0.767883,,,,,,,,,,,,,7daeec0b-62ca-4361-8d3d-ec53d0171d37,1704,,"[111.3, 40.9]",3825897,48,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Markel Bergara Larrañaga,6633.0,Right Defensive Midfield,115,Real Sociedad,210,['11f43c34-a719-4b0e-8b99-df35846da214'],19,,Head,,"[119.4, 43.5, 0.2]",,"[{'location': [101.8, 38.9], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.5, 30.5], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.2, 38.6], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [115.1, 59.2], 'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.8, 53.9], 'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 44.9], 'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 45.4], 'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.9, 42.3], 'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.2, 64.3], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.6, 49.1], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.3, 41.6], 'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.4, 40.9], 'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 35.9], 'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",a103b9fb-40d3-460d-9763-77acee0c0619,,Saved,0.13799167,Normal,Open Play,,,,,,Real Sociedad,210,00:03:19.503,Shot,
,,,,,,,,,,,,,,,,0.149175,,,,,,,,,,,,,0cb4bc7b-3745-476f-87c1-94c7146f76cc,2042,,"[105.2, 48.4]",3825897,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Borja González Tomás,6566.0,Left Center Forward,135,Eibar,322,"['23079809-56b0-4de0-a848-98124a1f2c00', '8235dd3d-d551-47e9-9060-f416ca8fedf8']",34,,Right Foot,,"[106.3, 47.7]",,"[{'location': [96.1, 48.2], 'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.2, 43.8], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.1, 35.1], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.3, 48.3], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.2, 47.6], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.4, 45.1], 'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [91.8, 55.5], 'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.7, 41.3], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 55.0], 'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.5, 53.2], 'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",0eae12b1-f527-4320-b265-89ef37f6706b,,Blocked,0.036609277,Normal,Open Play,,,,,,Eibar,322,00:12:34.986,Shot,
