50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,53b87434-c88e-4859-8abb-f7f0e30efe9b,2403,,"[114.1, 62.8]",3825815,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jefferson Andrés Lerma Solís,5678.0,Right Back,148,Levante UD,221,['49d61d5d-3201-40d1-b9f5-a1675ed279ba'],30,,,,,,,,,,,,,,,,,Levante UD,221,00:17:30.396,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,28484a42-b943-401c-ad2c-3797014962d3,2451,,"[86.9, 75.2]",3825815,65,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Rodrigo Moreno Machado,5718.0,Right Wing,151,Valencia,207,['f41dddef-5c25-4d79-98e6-cc00523ee788'],19,,,,,,,,,,,,,,,,,Valencia,207,00:20:19.111,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,1e1e46e5-e0a4-4ec4-9544-30f4e879119a,2537,,"[92.2, 51.9]",3825815,67,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sofiane Feghouli,18724.0,Right Center Midfield,157,Levante UD,221,"['5bfca90f-87f4-4687-b5d6-4234de8a1dec', '85fc5214-f882-45a2-a174-9fc37b10617d']",59,,,,,,,,,,,,,,,,,Valencia,207,00:22:59.842,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,6ed8d56e-65d1-4d0e-8609-8f8d1d5fa505,2603,,"[46.5, 4.6]",3825815,70,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Juan Francisco García García,26023.0,Left Back,161,Valencia,207,['038a7462-b696-4355-b2f2-41877a798442'],9,,,,,,,,,,,,,,,,,Levante UD,221,00:25:09.872,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,8e376117-7e7e-4fca-a348-d9ea3d4ee2bf,2825,,"[86.0, 33.5]",3825815,78,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Deyverson Brum Silva Acosta,25134.0,Right Center Forward,177,Valencia,207,"['19179181-99ff-41a0-8c7e-9f819861b29b', '98d4f796-a343-4228-8855-533e2d626f7e']",25,,,,,,,,,,,,,,,,,Levante UD,221,00:33:25.648,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,cc16f4bc-77c7-47db-8337-0bb3bb0938ff,2890,,"[81.8, 76.1]",3825815,79,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sofiane Feghouli,18724.0,Right Center Midfield,179,Levante UD,221,"['d7c79e9f-d039-4653-801f-a7faeadb00e5', 'f3c68ec8-0e6c-4686-a553-ac8f8a59565e']",53,,,,,,,,,,,,,,,,,Valencia,207,00:34:53.189,Dribble,True
,,,,,,,,,,,Complete,,,0.0,,,,,,,,,,,,,e67932bd-1ac6-4f85-b5c8-e0b33040718b,3033,,"[109.8, 69.3]",3825815,83,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Álvaro Negredo Sánchez,20542.0,Right Wing,191,Valencia,207,['ac8ff0a3-a64e-4b6d-a6f3-1e91ab8d1609'],35,,,,,,,,,,,,,,,,,Valencia,207,00:38:35.000,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,25827d85-8fb2-4c27-bffa-05bec5d394d5,3171,,"[105.7, 59.4]",3825815,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,José Luis Morales Nogales,6668.0,Right Midfield,198,Levante UD,221,"['16f77ad3-e59f-4e39-868c-8617b4e637aa', '77896bea-334e-4299-8aad-3ffc83720489']",59,,,,,,,,,,,,,,,,,Levante UD,221,00:43:59.824,Dribble,True
,,,,,,,,,,,Incomplete,,,0.0,,,,,,,,,,,,,ab31bdbe-8558-4444-8df8-3a17bb8b5282,3285,,"[109.1, 26.0]",3825815,93,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Víctor Camarasa Ferrando,6659.0,Right Center Forward,206,Levante UD,221,['3dc9a412-a4e1-46d5-a0ff-24e0e0ed8e71'],49,,,,,,,,,,,,,,,,,Levante UD,221,00:48:49.735,Dribble,True
,,,,,,,,,,,,,,0.359839,,,,,,,,,,,,,89ec6284-253d-4609-9e9b-9fff65b2358d,136,,"[113.6, 48.9]",3825815,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Simão Mate,27122.0,Right Defensive Midfield,7,Levante UD,221,"['8ddae305-0e1f-41b2-b7ab-0485da292fb3', 'cdf03590-cde5-439b-9c31-23d48d083732']",11,True,Head,"[120.0, 43.8, 5.5]",,"[{'location': [115.7, 46.6], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.9, 77.3], 'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.4, 48.1], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.6, 46.7], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 63.1], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.5, 59.4], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.7, 36.5], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.7, 44.8], 'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.5, 42.0], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 41.2], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 44.7], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 39.6], 'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.8, 42.0], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 45.2], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [116.2, 37.0], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.3, 28.8], 'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.0, 35.3], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",2ce90fc7-1282-4ba4-ac1c-27bd94b71b30,,Off T,0.036872707,Normal,Open Play,,,,,,Levante UD,221,00:04:11.828,Shot,True
,,,,,,,,,,,,,,0.305977,,,,,,,,,,,,,93c1efa2-8793-41f2-a333-0f2ac4b23c50,479,,"[109.6, 35.9]",3825815,12,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Francisco Alcácer García,6402.0,Center Forward,26,Valencia,207,['a295ed65-b28c-404c-9f8f-12997a685ef4'],16,,Left Foot,"[116.3, 39.3, 0.2]",,"[{'location': [116.4, 38.7], 'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.7, 37.4], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",6ddf6c3d-fe44-4475-93a0-ce7a06af0345,,Saved,0.4306883,Normal,Open Play,,,,,,Valencia,207,00:12:16.317,Shot,
,,,,,,,,,,,,,,0.238621,,,,,,,,,,,,,98aa454f-d8d6-4ef2-9205-8b72e7012a9a,584,,"[109.2, 38.7]",3825815,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Carl Medjani,27656.0,Right Center Back,32,Levante UD,221,"['c7c54dbd-ff2a-4ddf-b573-d5c8c86371c6', 'f5abbaa2-5216-4ca3-a22e-adf304c1e066']",43,True,Head,"[120.0, 36.9, 5.1]",,"[{'location': [98.1, 30.9], 'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.4, 35.5], 'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.1, 42.1], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.8, 42.1], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.4, 43.8], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.6, 43.4], 'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.3, 37.6], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 35.2], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.3, 36.1], 'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.5, 15.4], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.7, 41.0], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 45.1], 'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.7, 35.7], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.2], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.3, 42.7], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.1, 39.3], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.9, 17.2], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",26f5add7-e8fa-4a5f-bf1b-94ece62c56b1,,Off T,0.044166237,Normal,Open Play,,,,,,Levante UD,221,00:15:43.261,Shot,True
,,,,,,,,,,,,,,1.222819,,,,,,,,,,,,,c019d095-c865-4e05-9b7b-bf903a09d1a2,654,,"[104.7, 37.4]",3825815,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Simão Mate,27122.0,Right Defensive Midfield,38,Levante UD,221,"['564502b9-c0a1-46c2-9ec9-161232e91ce7', 'fdc22681-4416-4b0a-8d3b-2f190959a7ef']",37,True,Head,"[117.8, 41.6, 1.4]",,"[{'location': [106.6, 32.6], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [118.4, 39.7], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.7, 51.3], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.5, 40.9], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.2, 32.6], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.9, 29.2], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.5, 37.9], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 36.5], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 45.3], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 41.3], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.1, 41.6], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [95.8, 32.6], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.5, 42.5], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.9, 20.3], 'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",c7d9e60e-f1f5-4db3-a789-138bac553158,,Saved,0.028459715,Normal,Open Play,,,,,,Levante UD,221,00:18:37.451,Shot,True
,,,,,,,,,,,,,,0.491453,,,,,,,,,,,,,c3082dcc-46f5-44db-a4d7-d31026854b42,690,,"[101.7, 57.4]",3825815,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jefferson Andrés Lerma Solís,5678.0,Right Back,44,Levante UD,221,['7f41e3f1-7d70-4ced-8e0b-674b0a3fb190'],42,,Right Foot,"[120.0, 32.9, 2.1]",True,"[{'location': [110.2, 28.7], 'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.7, 35.4], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.9, 39.9], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.1, 46.5], 'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [94.8, 30.0], 'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.4, 40.1], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.6, 42.3], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.1, 51.2], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.6, 53.9], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.9, 48.2], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.3, 41.2], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 20.6], 'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.8, 53.1], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.3, 34.2], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,,Off T,0.01588772,Half Volley,Open Play,,,,,,Levante UD,221,00:19:42.343,Shot,
,,,,,,,,,,,,,,0.717698,,,,,,,,,,,,,6f93d5ae-71ca-4714-8824-512cd04f1568,730,,"[113.6, 28.2]",3825815,20,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giuseppe Rossi,7141.0,Left Center Forward,47,Levante UD,221,['412c19dc-a5f5-46e3-863a-3e9272243a3d'],55,,Left Foot,"[120.0, 44.0, 0.4]",True,"[{'location': [118.5, 35.9], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.4, 26.4], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.2, 38.6], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 23.5], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.5, 30.2], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.8, 43.1], 'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 30.0], 'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.3, 19.3], 'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.6, 20.1], 'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.1, 39.8], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",3b45d5df-4471-4b53-8bf1-a2b1836b07c1,,Post,0.12845401,Normal,Open Play,,,,,,Levante UD,221,00:20:55.581,Shot,
,,,,,,,,,,,,,,1.009064,,,,,,,,,,,,,3e7d1436-225f-44cb-af5c-f5851e160aa5,825,,"[106.2, 50.7]",3825815,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sofiane Feghouli,18724.0,Right Wing,54,Valencia,207,"['2480dbf3-8f4a-4124-8329-73db41c85f6f', 'da62714f-b93b-4ee6-8686-3d127a22a589']",19,,Left Foot,"[120.0, 34.5, 0.9]",,"[{'location': [109.1, 42.1], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.8, 37.8], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 39.5], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.3, 41.2], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 46.6], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 52.1], 'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.2, 41.7], 'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.10350297,Normal,Open Play,,,,,,Valencia,207,00:24:19.060,Shot,True
,,,,,,,,,,,,,,0.775625,,,,,,,,,,,,,b7bff9f8-6d62-4466-a873-4ab2e10f2bdd,945,,"[104.0, 44.6]",3825815,27,,,True,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sofiane Feghouli,18724.0,Right Wing,61,Valencia,207,"['42e5f785-ccb6-446a-882c-48e949cb5a85', 'd3c87d07-6341-466b-b2ed-b7c403ab48d7']",34,True,Head,"[120.0, 60.9]",,"[{'location': [118.9, 40.0], 'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.5, 59.0], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.7, 36.7], 'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.2, 48.3], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [111.9, 33.2], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 45.8], 'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 38.6], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.6, 19.2], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.5, 26.2], 'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.2, 37.1], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 40.4], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.5, 30.8], 'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",e1a1f4b0-91ab-4af3-b4f9-cda8242ea237,,Wayward,0.039957877,Normal,Open Play,,,,,,Valencia,207,00:27:34.031,Shot,True
,,,,,,,,,,,,,,0.271481,,,,,,,,,,,,,67ebb987-2ff8-45bf-9f03-866be92986e0,1123,,"[117.4, 54.6]",3825815,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Deyverson Brum Silva Acosta,25134.0,Right Center Forward,68,Levante UD,221,['b310e52f-b011-42a7-960e-5c269461cf81'],22,,Left Foot,"[118.9, 45.8, 0.4]",,"[{'location': [111.6, 42.8], 'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.3, 45.5], 'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.6, 34.7], 'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.5, 56.6], 'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.4, 48.4], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.8, 43.9], 'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.2, 35.6], 'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,Saved,0.01948506,Normal,Open Play,,,,,,Levante UD,221,00:31:22.862,Shot,
