50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c141acbc-fa99-47ba-959c-14d167c72915,1,,,,3923880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 102722, 'name': 'Siyanda Xulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 67974, 'name': 'Nkosinathi Sibisi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 65727, 'name': 'Thapelo James Morena'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 133003, 'name': 'Mihlali Samson Mayambela'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ab269486-eafd-4ee8-8e57-2cb54b349c0a,2,,,,3923880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22823, 'name': 'Dimitry Bertaud'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 297356, 'name': 'Brian Jephte Bayeye'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24105, 'name': 'Dylan Batubinsika'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4939, 'name': 'Joris Kayembe Ditu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 4753, 'name': 'Aaron Tshibola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4412, 'name': 'Samuel Moutoussamy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 18244, 'name': 'Grady Diangana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 13329, 'name': 'Silas Katompa Mvumpa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 24826, 'name': 'Simon Bokote Banza'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Congo DR,4881,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,85b90e67-f9d3-4cb8-a0bc-ce124638749f,3,,,,3923880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,['d6132c45-28f5-405b-bcef-c12552cd6a79'],0,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d6132c45-28f5-405b-bcef-c12552cd6a79,4,,,,3923880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,['85b90e67-f9d3-4cb8-a0bc-ce124638749f'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1b1c9dfa-8b51-42f8-800f-af22f26e33b3,1763,,,,3923880,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,65,South Africa,4976,['81cb2dc8-3549-43d6-bef8-b8b8a2617f33'],0,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,81cb2dc8-3549-43d6-bef8-b8b8a2617f33,1764,,,,3923880,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,65,South Africa,4976,['1b1c9dfa-8b51-42f8-800f-af22f26e33b3'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f0160e55-3b13-4e07-9ab4-1e0a9334f987,3356,,,,3923880,120,,,,,,,,,,,,,,,,,,,,,,,5,From Corner,,,,134,Congo DR,4881,['6c4af012-2d8b-4530-8a1a-8afebdf188e3'],0,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6c4af012-2d8b-4530-8a1a-8afebdf188e3,3357,,,,3923880,120,,,,,,,,,,,,,,,,,,,,,,,5,From Corner,,,,134,Congo DR,4881,['f0160e55-3b13-4e07-9ab4-1e0a9334f987'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.95784,,,,,,,,,,,14d36e5f-9625-427b-8308-f60690cbba1a,5,,,"[61.0, 40.1]",3923880,0,,,,2.6901395,,Left Foot,,"[51.1, 44.9]",Ground Pass,,11.002273,,,,,Samuel Moutoussamy,4412.0,,,,,Kick Off,1,From Kick Off,Grady Diangana,18244.0,Center Attacking Midfield,2,Congo DR,4881,['f7c553fc-27c4-4acf-8f7f-486b18faec0f'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.400,Pass,
,,,,,,,,,,,,,,,,,,5.591523,,,,,,,,,,,b2fa491f-6573-49d6-9b23-c2ba87334e5d,8,,,"[52.0, 44.9]",3923880,0,,,,-0.61862504,,Left Foot,,"[110.3, 3.4]",High Pass,,71.56214,,,Incomplete,,Silas Katompa Mvumpa,13329.0,,True,,,,1,From Kick Off,Samuel Moutoussamy,4412.0,Left Defensive Midfield,2,Congo DR,4881,"['2248a8cb-fff4-4f16-9440-c7d6f0e49b60', '93f637c9-0f64-416d-bf4d-1efdc505d9aa']",2,,,,,,,,,,,,,,,,Congo DR,4881,00:00:02.601,Pass,
