50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55a0a96d-8754-4d1e-9b2f-e50e62effb6f,1,,,,3920407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 70093, 'name': 'Gomolemo Grant Kekana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 65732, 'name': 'Mothobi Mvala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 65727, 'name': 'Thapelo James Morena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 29367, 'name': 'Percy Tau'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a3b0668-a804-45e1-8b03-da31f027a3db,2,,,,3920407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 125324, 'name': 'Lloyd Junior Kazapua'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4218, 'name': 'Ryan Nyambe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 264381, 'name': 'Kennedy Amutenya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 135004, 'name': 'Lubeni Haukongo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 65555, 'name': 'Riaan Hanamub'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 136406, 'name': 'Aprocious Petrus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 103804, 'name': 'Absalom Iimbondi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 125333, 'name': 'Petrus Shitembi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 103803, 'name': 'Prins Menelik Tjiueza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 64612, 'name': 'Deon Hotto Kavendji'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 65723, 'name': 'Peter Shalulile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Namibia,4980,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8061f752-3325-41e2-ae03-4d24723fc9a2,3,,,,3920407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,['e42dfc59-5996-41a9-8dab-f73c1b6bfbdb'],0,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e42dfc59-5996-41a9-8dab-f73c1b6bfbdb,4,,,,3920407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa,4976,['8061f752-3325-41e2-ae03-4d24723fc9a2'],0,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,685aa859-2f86-4492-98b6-3d0ee3da8525,1491,,,,3920407,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Namibia,4980,['3efdae5f-50b0-4493-a1e7-0bbc758851e3'],0,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3efdae5f-50b0-4493-a1e7-0bbc758851e3,1492,,,,3920407,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Namibia,4980,['685aa859-2f86-4492-98b6-3d0ee3da8525'],0,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.966628,,,,,,,,,,,,,,1174822c-2eec-4a5f-878a-cb63d7c07ef1,5,,,"[60.0, 40.0]",3920407,0,,,,2.7802358,,Right Foot,,,,"[47.3, 44.8]",,Ground Pass,,13.576818,,,Teboho Mokoena,66716.0,,,,,Kick Off,1,From Kick Off,Themba Zwane,65726.0,Center Attacking Midfield,2,South Africa,4976,['531ea9db-f297-4ba8-803a-994fda409c04'],0,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.593,Pass,
,,,,,,,,,,,,,,,,1.782563,,,,,,,,,,,,,,fa2645ce-b2ed-4b96-8d82-73e976b609a1,8,,,"[47.7, 45.3]",3920407,0,,,,1.8899014,,Right Foot,,,,"[40.2, 68.0]",,Ground Pass,,23.906902,,,Khuliso Johnson Mudau,65719.0,,,,,,1,From Kick Off,Teboho Mokoena,66716.0,Right Defensive Midfield,2,South Africa,4976,['8e8c2f67-1ff1-40e2-863b-9fd677bda202'],2,,,,,,,,,,,,,,,,,South Africa,4976,00:00:02.233,Pass,
,,,,,,,,,,,,,,,,1.638139,,,,,,,,,,,,,,b9cf39a6-7895-40ea-934d-9b950ba4abaa,11,,,"[40.3, 67.2]",3920407,0,,,,-2.3453255,,Right Foot,,,,"[22.1, 48.6]",,Ground Pass,,26.023067,,,Gomolemo Grant Kekana,70093.0,,,,,,1,From Kick Off,Khuliso Johnson Mudau,65719.0,Right Back,2,South Africa,4976,['bd50345f-85d1-4b6e-8a5f-2d64769ebd82'],4,,,,,,,,,,,,,,,,,South Africa,4976,00:00:04.985,Pass,
,,,,,,,,,,,,,,,,1.899764,,,,,,,,,,,,,,73588b69-aae6-4ea4-bb07-c45009888e96,14,,,"[20.2, 46.6]",3920407,0,,,,-1.5151049,,Right Foot,,,,"[21.8, 17.9]",,Ground Pass,,28.744564,,,Mothobi Mvala,65732.0,,,,,,1,From Kick Off,Gomolemo Grant Kekana,70093.0,Right Center Back,2,South Africa,4976,['45e68a7d-be60-4143-a9b1-ecfc479af9bf'],7,,,,,,,,,,,,,,,,,South Africa,4976,00:00:07.931,Pass,
